tienda_nombre,nombre_producto,descripcion,precio,stock,categoria,imagen_url,tallas
"ModaMujer Boutique","Blusa Floral Primavera","Blusa ligera con estampado floral en tonos pastel. Tela 100% algodón, ideal para el día a día.",45000,25,Ropa,https://images.unsplash.com/photo-1571945153237-4929e783af4a?w=600&q=80,"S:8;M:10;L:7"
"ModaMujer Boutique","Pantalón Palazzo Negro","Pantalón de pierna ancha en tela fluida negra. Cintura elástica cómoda y versátil.",78000,15,Ropa,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=600&q=80,"XS:3;S:5;M:4;L:3"
"ModaMujer Boutique","Vestido Casual Verano","Vestido midi con escote en V y mangas cortas. Perfecto para salidas casuales o reuniones.",95000,12,Ropa,https://images.unsplash.com/photo-1572804013427-4d7ca7268217?w=600&q=80,"S:4;M:5;L:3"
"ModaMujer Boutique","Camisa Oxford Básica","Camisa de algodón tipo Oxford en blanco. Cuello clásico, cierre con botones, corte semi-ajustado.",55000,30,Ropa,https://images.unsplash.com/photo-1489987707025-afc232f7ea0f?w=600&q=80,"S:10;M:12;L:8"
"ModaMujer Boutique","Falda A-Line Midi","Falda de talle alto que realza la figura. Cierre lateral invisible, longitud midi.",68000,18,Ropa,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=600&q=80,"XS:4;S:6;M:5;L:3"
"ModaMujer Boutique","Blazer Elegante Sastre","Blazer de corte recto en tela tipo lino. Dos botones frontales, hombros estructurados.",120000,8,Ropa,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=600&q=80,"S:3;M:3;L:2"
"ModaMujer Boutique","Camiseta Oversize Básica","Camiseta oversized en algodón suave. Cuello redondo y caída perfecta.",38000,40,Ropa,https://images.unsplash.com/photo-1583744946564-b52ac1c389c8?w=600&q=80,"S:14;M:16;L:10"
"ModaMujer Boutique","Jumpsuit Denim Clásico","Jumpsuit de mezclilla con cintura definida. Cierres laterales y bolsillos funcionales.",85000,10,Ropa,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600&q=80,"S:3;M:4;L:3"
"ModaMujer Boutique","Cardigan Tejido Suave","Cardigan de punto fino en color crema. Abierto al frente, largo hasta la cadera.",72000,14,Ropa,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=600&q=80,"S:5;M:6;L:3"
"ModaMujer Boutique","Top Cropped Liso","Top corto en licra elastizada. Ideal para combinar con pantalones de tiro alto.",32000,35,Ropa,https://images.unsplash.com/photo-1562157873-818bc0726f68?w=600&q=80,"XS:10;S:12;M:8;L:5"
"Pisadas Style","Tenis Deportivos Mesh","Tenis livianos de malla transpirable con suela antideslizante. Ideales para deporte y uso diario.",125000,20,Zapatos / Calzado,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600&q=80,"36:4;37:5;38:5;39:4;40:2"
"Pisadas Style","Botines Cuero Café","Botines de cuero genuino en café oscuro. Taco de 5 cm, suela de goma resistente.",185000,12,Zapatos / Calzado,https://images.unsplash.com/photo-1608256246200-53e635b5b65f?w=600&q=80,"35:2;36:4;37:3;38:2;39:1"
"Pisadas Style","Sandalias Planas Rafia","Sandalias planas tejidas en rafia natural. Cierre de hebilla ajustable.",65000,25,Zapatos / Calzado,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=600&q=80,"35:5;36:8;37:7;38:5"
"Pisadas Style","Tacones Stiletto Nude","Tacones finos en color nude, tela de ante sintético. Altura 10 cm.",155000,8,Zapatos / Calzado,https://images.unsplash.com/photo-1515347619252-60a4bf4fff4f?w=600&q=80,"35:2;36:2;37:2;38:2"
"Pisadas Style","Mocasines Clásicos Hombre","Mocasines de cuero sintético en negro. Suela flexible y plantilla acolchada.",98000,15,Zapatos / Calzado,https://images.unsplash.com/photo-1624639560706-1562e832b3b3?w=600&q=80,"39:3;40:4;41:4;42:3;43:1"
"Pisadas Style","Sneakers Blancos Premium","Sneakers clásicos en blanco con suela gruesa. Cuero sintético de alta resistencia.",145000,22,Zapatos / Calzado,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=600&q=80,"36:4;37:5;38:6;39:4;40:3"
"Pisadas Style","Botas Lluvia Coloridas","Botas impermeables de caucho para lluvia. Diseño moderno en varios colores.",88000,18,Zapatos / Calzado,https://images.unsplash.com/photo-1520639888713-7851133b1ed0?w=600&q=80,"35:4;36:5;37:5;38:4"
"Pisadas Style","Zapatillas Running Pro","Zapatillas de alto rendimiento con tecnología de amortiguación superior.",210000,10,Zapatos / Calzado,https://images.unsplash.com/photo-1544441893-675973e31985?w=600&q=80,"37:2;38:3;39:3;40:2"
"Pisadas Style","Chancletas Premium Confort","Chancletas anatómicas con plantilla de espuma memory foam. Máxima comodidad.",45000,30,Zapatos / Calzado,https://images.unsplash.com/photo-1603487742131-4160ec999306?w=600&q=80,"35:6;36:8;37:8;38:6;39:2"
"Pisadas Style","Oxford Cuero Negro Formal","Zapatos Oxford de cuero genuino en negro. Costura Blake para mayor durabilidad.",178000,9,Zapatos / Calzado,https://images.unsplash.com/photo-1575537302964-96cd47c06b1b?w=600&q=80,"39:2;40:3;41:2;42:2"
"Pequeños Gigantes","Conjunto Bebé Osito","Conjunto de dos piezas (body y pantalón) en tela suave tipo polar. Diseño de osito.",42000,20,Ropa Infantil,https://images.unsplash.com/photo-1522529599102-193c0d76b5b6?w=600&q=80,"0-3m:6;3-6m:8;6-12m:6"
"Pequeños Gigantes","Pijama Dinosaurios Niño","Pijama de dos piezas en algodón con estampado de dinosaurios. Suave y cómodo.",35000,30,Ropa Infantil,https://images.unsplash.com/photo-1558171813-78d53ce5a58b?w=600&q=80,"2:8;4:10;6:8;8:4"
"Pequeños Gigantes","Vestido Niña Flores","Vestido con falda tableada y estampado floral en tonos rosa y lila.",58000,15,Ropa Infantil,https://images.unsplash.com/photo-1524863479829-916d8e77f114?w=600&q=80,"2:4;4:5;6:4;8:2"
"Pequeños Gigantes","Camiseta Superhéroe Niño","Camiseta de algodón con diseño de superhéroe. Lavable a máquina, colores resistentes.",28000,40,Ropa Infantil,https://images.unsplash.com/photo-1566150905458-1bf1fc113f0d?w=600&q=80,"2:10;4:12;6:10;8:8"
"Pequeños Gigantes","Overol Bebé Denim","Overol de mezclilla suave para bebé. Ajuste fácil con broches a presión.",65000,12,Ropa Infantil,https://images.unsplash.com/photo-1503944583220-79d8926ad5e2?w=600&q=80,"3-6m:4;6-12m:5;12-18m:3"
"Pequeños Gigantes","Short Playero Niño Surf","Short de tela sintética secado rápido. Diseño de olas y colores vibrantes.",22000,35,Ropa Infantil,https://images.unsplash.com/photo-1519689680058-324335c77eba?w=600&q=80,"2:9;4:10;6:10;8:6"
